2018 SOC Code,Description
11-9199,Register
11-9199,Register in chancery
11-9199,Register of deeds
11-9199,Register of wills
11-9199,Registrar\ ns
11-9199,Registration officer
11-9199,Relocation director
11-9199,Research analyst
11-9199,Research development director
11-9199,Research director
11-9199,Risk management
11-9199,Safety coordinator
11-9199,Safety director
11-9199,Service director
11-9199,Social media manager
11-9199,Social science manager
11-9199,State official
11-9199,Supervisor area
11-9199,Supervisor field\ ns
11-9199,Supervisor road administrator
11-9199,Supervisor safety
11-9199,Supervisor\ ns
11-9199,Town clerk
11-9199,Traffic chief
11-9199,Trustee
11-9199,Utilities manager
11-9199,Vice consul
11-9199,Village clerk
11-9199,Water registrar
11-9199,Watermaster
11-9199,Winemaker
13-1011,Administrator business
13-1011,Advance agent
13-1011,Agent\ ns
13-1011,Artists representative
13-1011,Authors agent
13-1011,Band manager
13-1011,Booker
13-1011,Booking agent
13-1011,Boxing promoter
13-1011,Broker
13-1011,Business agent
13-1011,Circus agent
13-1011,Dramatic agent
13-1011,Exhibitor
13-1011,Film booker
13-1011,Jockeys agent
13-1011,Literary agent
13-1011,Manager artist
13-1011,Manager athlete
13-1011,Manager booking
13-1011,Manager business
13-1011,Manager copyright
13-1011,Manager fight
13-1011,Manager repertoire
13-1011,Manager touring production
13-1011,Manager\ ns
13-1011,Patent agent
13-1011,Patent broker
13-1011,Picture booker
13-1011,Promoter
13-1011,Promotional representative
13-1011,Talent scout
13-1011,Theatrical agent
13-1021,Assembler\ ns
13-1021,Buyer
13-1021,Buyers agent
13-1021,Cattle broker
13-1021,Cattle buyer
13-1021,Cattle dealer
13-1021,Cattle shipper
13-1021,Cattle trader
13-1021,Cattleman
13-1021,Chicken buyer
13-1021,Contract agent
13-1021,Contractor buyer farm
13-1021,Cotton agent
13-1021,Cotton broker
13-1021,Cotton buyer
13-1021,Cotton converter
13-1021,Cotton factor
13-1021,Cow buyer
13-1021,Cream buyer
13-1021,Dealer\ ns
13-1021,Egg buyer
13-1021,Elevator attendant
13-1021,Elevator operator
13-1021,Farm products shipper
13-1021,Field contact person
13-1021,Fish agent
13-1021,Flour broker
13-1021,Food broker
13-1021,Fruit buyer
13-1021,Fruit shipper
13-1021,Fur buyer
13-1021,Grain broker
13-1021,Grain buyer
13-1021,Grain elevator man
13-1021,Grain shipper
13-1021,Grain trader
13-1021,Hide buyer
13-1021,Hog buyer
13-1021,Hog trader
13-1021,Horse buyer
13-1021,Horse trader
13-1021,Importer
13-1021,Livestock broker
13-1021,Livestock buyer
13-1021,Livestock commission agent
13-1021,Livestock dealer
13-1021,Livestock speculator
13-1021,Livestock trader
13-1021,Merchandiser\ any other activity or ns
13-1021,Oyster buyer
13-1021,Oyster shipper
13-1021,Poultry buyer
13-1021,Produce buyer
13-1021,Produce shipper
13-1021,Purchaser farm products
13-1021,Purchasing agent cotton grain livestock other farm products
13-1021,Sales buyer any commodity
13-1021,Seed buyer
13-1021,Shipper
13-1021,Stock buyer livestock
13-1021,Stock dealer
13-1021,Stock shipper
13-1021,Stock trader
13-1021,Supervisor crop
13-1021,Tobacco buyer
13-1021,Trader
13-1021,Wheat buyer
13-1021,Wheat shipper
13-1021,Wool buyer
13-1022,Assistant buyer
13-1022,Buy boat operator
13-1022,Buyer
13-1022,Fur buyer
13-1022,Gold buyer
13-1022,Importer
13-1022,Jobber
13-1022,Merchandise buyer
13-1022,Merchandiser\ any other activity or ns
13-1022,Merchant
13-1022,Old gold buyer
13-1022,Purchaser wholesale and retail exc farm products
13-1022,Purchasing agent merchandise for resale
13-1022,Purchasing agent\ ns
13-1022,Purveyor
13-1022,Retail buyer
13-1022,Sales buyer any commodity
13-1022,Tie buyer
13-1022,Tradesman
13-1022,Wholesale buyer
13-1023,Area field man
13-1023,Buyer
13-1023,Contract analyst exc labor
13-1023,Contract specialist
13-1023,Contractor buyer exc farm
13-1023,Food broker
13-1023,Fuel agent
13-1023,Fuel buyer
13-1023,General purchasing agent
13-1023,Jobber
13-1023,Journeyman
13-1023,Leaser
13-1023,Log buyer
13-1023,Lumber buyer
13-1023,Media buyer
13-1023,Merchandiser\ any other activity or ns
13-1023,Ore buyer
13-1023,Piece jobber
13-1023,Pulpwood buyer
13-1023,Pulpwood contractor
13-1023,Purchaser
13-1023,Purchaser exc wholesale retail and farm products
13-1023,Purchasing agent equipment supplies tools etc
13-1023,Purchasing agent\ ns
13-1023,Radio time buyer
13-1023,Railroad purchasing agent
13-1023,Timber buyer
13-1023,Traveling buyer
13-1030,Accident investigator
13-1030,Account analyst
13-1030,Adjuster\ ns
13-1030,Adjustment clerk
13-1030,Analyst\ ns
13-1030,Appeals referee
13-1030,Appeals representative
13-1030,Appraiser\ ns
13-1030,Arson investigator
13-1030,Auto body repair estimator
13-1030,Auto damage appraiser
13-1030,Auto damage estimator
13-1030,Benefit authorizer
13-1030,Building appraiser
13-1030,Check examiner
13-1030,Checker loans ratings etc
13-1030,Checker\ ns
13-1030,Claim adjuster
13-1030,Claim agent
13-1030,Claim approver
13-1030,Claim auditor
13-1030,Claim examiner
13-1030,Claim investigator
13-1030,Claim processor
13-1030,Claim representative
13-1030,Claim superintendent
13-1030,Compensation adjuster
13-1030,Disability examiner
13-1030,Estimator\ ns
13-1030,Examiner
13-1030,Fire adjuster
13-1031,Fire claims adjuster
13-1031,Health insurance adjuster
13-1030,Inspector claim
13-1030,Inspector\ ns
13-1030,Insurance adjuster
13-1030,Insurance appraiser
13-1030,Insurance appraiser auto damage
13-1030,Insurance checker
13-1030,Insurance examiner
13-1030,Insurance investigator
13-1030,Investigator insurance
13-1030,Investigator\ ns
13-1030,Job estimator exc cost
13-1031,Property and casualty insurance claims examiner
13-1030,Salvage determiner
13-1030,Surveyor\ ns
13-1041,Admeasurer
13-1041,Appraiser\ ns
13-1041,Attendance officer
13-1041,Check viewer
13-1041,City sanitarian
13-1041,Civil service examiner
13-1041,Compliance officer
13-1041,Compliance representative dealer
13-1041,Coroner
13-1041,Coroners juror
13-1041,Customhouse broker
13-1041,Deportation examiner
13-1041,Drivers license examiner
13-1041,Engineer inspecting
13-1041,Equal opportunity counselor
13-1041,Equal opportunity officer
13-1041,Equal opportunity representative
13-1041,Equal opportunity specialist
13-1041,Evaluator
13-1041,Examiner
13-1041,Field examiner
13-1041,Field investigator
13-1041,Foreign claims adjustor or developer
13-1041,Forms examiner
13-1041,Gauger\ ns
13-1041,Government gauger
13-1041,Government property investigator
13-1041,Immigration officer
13-1041,Inspector ABC board
13-1041,Inspector air pollution
13-1041,Inspector ammunition
13-1041,Inspector barrel
13-1041,Inspector bedding
13-1041,Inspector dock
13-1041,Inspector electrical fire apparatus
13-1041,Inspector environmental compliance
13-1041,Inspector factory
13-1041,Inspector fuel
13-1041,Inspector government property
13-1041,Inspector license
13-1041,Inspector maintenance
13-1041,Inspector material
13-1041,Inspector mine
13-1041,Inspector oil
13-1041,Inspector pharmaceutical
13-1041,Inspector pressure vessel
13-1041,Inspector scales
13-1041,Inspector substation
13-1041,Inspector upholstery
13-1041,Inspector weights and measures
13-1041,Inspector\ ns
13-1041,Inspector\ ns
13-1041,Insurance investigator
13-1041,Investigator immigration
13-1041,Investigator wages and hours
13-1041,Investigator\ ns
13-1041,Licensing examiner
13-1041,Medical examiner less than professional degree
13-1041,Methods examiner
13-1041,Mine examiner
13-1041,Mine sealer
13-1041,Mortician investigator
13-1041,Motor vehicle examiner
13-1041,Naturalization examiner
13-1041,Officer
13-1041,Operations agent
13-1041,Patent classifier
13-1041,Payroll examiner
13-1041,Pension examiner
13-1041,Port patrol officer
13-1041,Postal examiner
13-1041,Postal investigator
13-1041,Qualifications examiner
13-1041,Quality assurance representative
13-1041,Rent and housing investigator
13-1041,Sealer of weights and measures
13-1041,Station examiner
13-1041,Storekeeper gager
13-1041,Surveyor\ ns
13-1041,Trade mark classifier
13-1041,Wage and hour investigator
13-1041,Warehouse examiner
13-1041,Weigher
13-1041,Weighmaster
13-1051,Building construction estimator
13-1051,Building estimator
13-1051,Construction estimator
13-1051,Construction job cost estimator
13-1051,Cost estimator
13-1051,Crating and moving estimator
13-1030,Estimator\ ns
13-1051,Job estimator
13-1051,Job estimator cost
13-1051,Production cost estimator
13-1070,Appeals examiner employment
13-1070,Arbitrator personnel
13-1070,Assistant employee relations
13-1070,Assistant placement
13-1070,Business agent
13-1070,Conciliator
13-1070,Contract analyst labor
13-1070,Contract negotiator
13-1070,Contractor farm
13-1070,Coordinator of employees personnel or staff
13-1070,Counselor employment
13-1070,Director of nurses registry
13-1070,Employee adviser
13-1070,Employee counselor
13-1070,Employee operations examiner
13-1070,Employee placement specialist
13-1070,Employee relations specialist
13-1070,Employee relations\ any not listed
13-1070,Employee service officer
13-1070,Employees representative
13-1070,Employment counselor
13-1070,Employment interviewer
13-1070,Employment officer
13-1070,Employment security officer
13-1070,Farm labor contractor
13-1070,Field organizer
13-1070,Harvest contractor field crop
13-1070,Harvesting contractor
13-1070,Head hunter
13-1070,Human resource generalist
13-1070,Human resources consultant
13-1071,Human resources generalist
13-1070,Human resources specialist
13-1070,Human resources worker
13-1070,Industrial relations analyst
13-1070,Industrial relations counselor
13-1070,Industrial relations worker
13-1070,Interviewer interviewing job applicants
13-1070,Interviewer\ ns
13-1070,Job interviewer
13-1070,Job placement officer
13-1070,Labor conciliator
13-1070,Labor contractor exc farm
13-1070,Labor contractor farm
13-1070,Labor mediator
13-1070,Labor relations consultant
13-1070,Labor relations representative
13-1070,Labor relations specialist
13-1070,Labor relations worker
13-1070,Labor representative
13-1070,Morale officer
13-1070,Negotiator contract
13-1070,Negotiator labor relations or personnel
13-1070,Personnel adviser
13-1070,Personnel analyst
13-1070,Personnel consultant
13-1070,Personnel counselor
13-1070,Personnel interviewer
13-1070,Personnel officer
13-1070,Personnel placement specialist
13-1070,Personnel recruiter
13-1070,Personnel representative
13-1070,Personnel specialist
13-1070,Personnel worker
13-1070,Placement counselor
13-1070,Placement officer
13-1070,Placement specialist
13-1070,Recruiter
13-1070,Registrar\ ns
13-1070,Representative
13-1070,Rules examiner
13-1070,Shop steward exc supervising inspecting monitoring
13-1070,Student recruiter
13-1070,Supervisor employment
13-1070,Supervisor labor relations
13-1070,Supervisor personnel
13-1070,Technician personnel
13-1070,Union organizer
13-1070,Union representative
13-1070,Union steward
13-1070,Volunteer coordinator
13-1141,Assistant retirement
13-1141,Benefit specialist
13-1141,Compensation expert
13-1141,Compensation specialist
13-1141,Employee benefits specialist
13-1141,Job analyst
13-1141,Job specification writer
13-1141,Occupational analyst
13-1141,Pension administrator
13-1141,Position classification specialist
13-1141,Position classifier
13-1141,Prisoner classification interviewer
13-1141,Rating officer
13-1141,Relocation director
13-1141,Retirement plan specialist employment benefits or pensions
13-1141,Salary and wage administrator
13-1141,Special agent exc sales
13-1141,Supervisor employee benefits
13-1141,Union contract representative
13-1141,Wage adjuster
13-1141,Wage analyst
13-1141,Wage and salary specialist
13-1141,Wage conciliator
13-1151,Computer software training specialist
13-1151,Computer training specialist
13-1151,Corporate trainer
13-1151,Employee development specialist
13-1151,Insurance employee trainer
13-1151,Job development specialist
13-1151,Labor trainer
13-1151,Manpower development advisor
13-1151,Manpower development specialist
13-1151,Older worker specialist
13-1151,Personnel training officer
13-1151,Supervisor job training
13-1151,Supervisor training personnel
13-1151,Teacher company policies
13-1151,Teacher personnel
13-1151,Teacher safety
13-1151,Technician scheme
13-1151,Training coordinator
13-1151,Training specialist
13-1151,Workforce development specialist
