O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11-1031.00,Legislators,Citrix GoToMeeting,43233502,Video conferencing software,N
11-1031.00,Legislators,Corel WordPerfect Office Suite,43231513,Office suite software,N
11-1031.00,Legislators,GoodReader,43232104,Word processing software,N
11-1031.00,Legislators,iAnnotate,43232104,Word processing software,N
11-1031.00,Legislators,IBM Domino,43232902,Communications server software,N
11-1031.00,Legislators,Legislative Automative Workflow System LAWS,43232306,Data base user interface and query software,N
11-1031.00,Legislators,Mapping software,43233506,Map creation software,N
11-1031.00,Legislators,Meeting scheduling software,43232108,Calendar and scheduling software,N
11-1031.00,Legislators,Microsoft Access,43232306,Data base user interface and query software,Y
11-1031.00,Legislators,Microsoft Excel,43232110,Spreadsheet software,Y
11-1031.00,Legislators,Microsoft Exchange Server,43233501,Electronic mail software,Y
11-1031.00,Legislators,Microsoft Office,43231513,Office suite software,Y
11-1031.00,Legislators,Microsoft Outlook,43233501,Electronic mail software,Y
11-1031.00,Legislators,Microsoft SharePoint,43231507,Project management software,Y
11-1031.00,Legislators,Microsoft SQL Server,43232306,Data base user interface and query software,Y
11-1031.00,Legislators,Microsoft Visual Basic,43232402,Development environment software,Y
11-1031.00,Legislators,Microsoft Word,43232104,Word processing software,Y
11-1031.00,Legislators,Penultimate,43232104,Word processing software,N
11-1031.00,Legislators,PTC Arbortext Editor,43232104,Word processing software,N
11-1031.00,Legislators,Rocket/Folio NXT,43232112,Desktop publishing software,N
11-1031.00,Legislators,Structured query language SQL,43232306,Data base user interface and query software,Y
11-1031.00,Legislators,Web browser software,43232705,Internet browser software,N
11-1031.00,Legislators,Windows Media Player,43232005,Music or sound editing software,N
11-1031.00,Legislators,XMetaL Author,43232104,Word processing software,N
11-2011.00,Advertising and Promotions Managers,Actuate BIRT,43232314,Business intelligence and data analysis software,N
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe Acrobat,43232202,Document management software,Y
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe AfterEffects,43232103,Video creation and editing software,Y
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe Creative Suite,43232402,Development environment software,N
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe Dreamweaver,43232107,Web page creation and editing software,N
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe Flash Player,43232107,Web page creation and editing software,N
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe Illustrator,43232102,Graphics or photo imaging software,Y
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe InDesign,43232112,Desktop publishing software,Y
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe PageMaker,43232112,Desktop publishing software,N
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe Photoshop,43232102,Graphics or photo imaging software,Y
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe Premiere Pro,43232103,Video creation and editing software,N
11-2011.00,Advertising and Promotions Managers,AdRelevance,43232305,Data base reporting software,N
11-2011.00,Advertising and Promotions Managers,Apple Final Cut Pro,43232103,Video creation and editing software,N
11-2011.00,Advertising and Promotions Managers,Apple iMovie,43232103,Video creation and editing software,N
11-2011.00,Advertising and Promotions Managers,Avid Media Composer,43232103,Video creation and editing software,N
11-2011.00,Advertising and Promotions Managers,Brainworks,43231602,Enterprise resource planning ERP software,Y
11-2011.00,Advertising and Promotions Managers,Business analysis software,43232605,Analytical or scientific software,N
11-2011.00,Advertising and Promotions Managers,Constant Contact,43232303,Customer relationship management CRM software,N
11-2011.00,Advertising and Promotions Managers,Customer relationship management CRM software,43232303,Customer relationship management CRM software,N
11-2011.00,Advertising and Promotions Managers,Data visualization software,43232605,Analytical or scientific software,N
11-2011.00,Advertising and Promotions Managers,Data warehousing software,43232202,Document management software,N
11-2011.00,Advertising and Promotions Managers,Database software,43232306,Data base user interface and query software,N
11-2011.00,Advertising and Promotions Managers,Experience in Software Webplanner,43231507,Project management software,N
11-2011.00,Advertising and Promotions Managers,Facebook,43232107,Web page creation and editing software,Y
11-2011.00,Advertising and Promotions Managers,Google AdWords,43231514,Sales and marketing software,Y
11-2011.00,Advertising and Promotions Managers,Google Analytics,43232605,Analytical or scientific software,Y
11-2011.00,Advertising and Promotions Managers,Google DoubleClick,43232314,Business intelligence and data analysis software,N
11-2011.00,Advertising and Promotions Managers,IBM Lotus Notes,43233501,Electronic mail software,N
11-2011.00,Advertising and Promotions Managers,JavaScript,43232408,Web platform development software,Y
11-2011.00,Advertising and Promotions Managers,LinkedIn,43232107,Web page creation and editing software,Y
11-2011.00,Advertising and Promotions Managers,MarketSharp,43232303,Customer relationship management CRM software,N
11-2011.00,Advertising and Promotions Managers,Microsoft Access,43232306,Data base user interface and query software,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics Marketing,43232306,Data base user interface and query software,N
11-2011.00,Advertising and Promotions Managers,Microsoft Excel,43232110,Spreadsheet software,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Office,43231513,Office suite software,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Outlook,43233501,Electronic mail software,Y
11-2011.00,Advertising and Promotions Managers,Microsoft PowerPoint,43232106,Presentation software,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Publisher,43232112,Desktop publishing software,N
11-2011.00,Advertising and Promotions Managers,Microsoft Windows,43233004,Operating system software,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Word,43232104,Word processing software,Y
11-2011.00,Advertising and Promotions Managers,PaloAlto Advertising Plan Pro,43232306,Data base user interface and query software,N
11-2011.00,Advertising and Promotions Managers,Quark,43232112,Desktop publishing software,N
11-2011.00,Advertising and Promotions Managers,Relex Weibull,43232605,Analytical or scientific software,N
11-2011.00,Advertising and Promotions Managers,Salesforce software,43232303,Customer relationship management CRM software,Y
11-2011.00,Advertising and Promotions Managers,Structure query language SQL,43232306,Data base user interface and query software,N
11-2011.00,Advertising and Promotions Managers,Tableau,43232314,Business intelligence and data analysis software,Y
11-2011.00,Advertising and Promotions Managers,Web browser software,43232705,Internet browser software,N
11-2011.00,Advertising and Promotions Managers,Webtrends software,43231514,Sales and marketing software,N
11-2011.00,Advertising and Promotions Managers,YouTube,43232103,Video creation and editing software,Y
11-2011.01,Green Marketers,Adobe Systems Adobe Acrobat,43232202,Document management software,Y
11-2011.01,Green Marketers,Adobe Systems Adobe Creative Suite,43232402,Development environment software,N
11-2011.01,Green Marketers,Adobe Systems Adobe Dreamweaver,43232107,Web page creation and editing software,N
11-2011.01,Green Marketers,Adobe Systems Adobe Experience Manager (AEM),43232107,Web page creation and editing software,N
11-2011.01,Green Marketers,Adobe Systems Adobe Illustrator,43232102,Graphics or photo imaging software,Y
11-2011.01,Green Marketers,Adobe Systems Adobe InDesign,43232112,Desktop publishing software,Y
11-2011.01,Green Marketers,Adobe Systems Adobe Photoshop,43232102,Graphics or photo imaging software,Y
11-2011.01,Green Marketers,Adobe Systems Adobe Reader,43232202,Document management software,N
11-2011.01,Green Marketers,Computer aided software engineering CASE tools,43232405,Object or component oriented development software,N
11-2011.01,Green Marketers,Customer relationship management CRM software,43232303,Customer relationship management CRM software,N
11-2011.01,Green Marketers,Drupal,43232408,Web platform development software,Y
11-2011.01,Green Marketers,Email software,43233501,Electronic mail software,N
11-2011.01,Green Marketers,Extensible markup language XML,43232403,Enterprise application integration software,Y
11-2011.01,Green Marketers,Facebook,43232107,Web page creation and editing software,Y
11-2011.01,Green Marketers,Google AdWords,43231514,Sales and marketing software,Y
11-2011.01,Green Marketers,Google Analytics,43232605,Analytical or scientific software,Y
11-2011.01,Green Marketers,Hootsuite,43232403,Enterprise application integration software,N
11-2011.01,Green Marketers,HubSpot software,43231514,Sales and marketing software,N
11-2011.01,Green Marketers,Hypertext markup language HTML,43232408,Web platform development software,Y
